610 | Hughes, Rhys
611 | Hughes, Sam
612 | Human, Charlie
613 | Hunt, S. A.
614 | Hunter, Elizabeth
615 | Hunter, Faith
616 | Hunter, J. A. / Hunter, James A.
617 | Hurley, Kameron
618 | Hutson, Alec
619 | Huxley, Aldous
620 | Hyde, Douglas
621 | Ibrahim, Laila
622 | Iggulden, Conn / Iggulden, C. F.
623 | Ings, Simon
624 | Inkston, Kell
625 | Irving, John
626 | Isaka, Kotaro
627 | Isayama, Hajime
628 | Ishiguro, Kazuo
629 | Islington, James
630 | Ito, Junji
631 | Jacka, Benedict
632 | Jackson, Chris A.
633 | Jackson, Shirley
634 | Jacques, Brian
635 | Jae-Jones, S.
636 | Jakins, James
637 | James, Edward
638 | James, Elliott
639 | James, Greg
640 | James, Vic
641 | Jaskiernia, V. M.
642 | Jaworski, Jean-Philippe
643 | Jefferies, Richard
644 | Jemisin, N. K.
645 | Jensen, Megg
646 | Johansen, Erika
647 | Johnson, Alaya Dawn
648 | Johnson, Kij
649 | Johnson, Peter
650 | Johnston, E. K.
651 | Jones, Diana Wynne
652 | Jones, Heather Rose
653 | Jones, Holly Goddard
654 | Jones, Howard Andrew
655 | Jones, Jaida
656 | Jones, Stephen Graham
657 | Jones, Tamara Siler
658 | Jordan, Robert
659 | Joyce, Graham
660 | Julicher, K. D.
661 | Kade, Kel
662 | Kadrey, Richard
663 | Kagawa, Julie
664 | Kaplan, Matt
665 | Kaufman, Amie
666 | Kawahara, Reki
667 | Kawakami, Hiromi
668 | Kay, Guy Gavriel
669 | Kearney, Paul
670 | Keen, Helen
671 | Keller, Julia
672 | Kelliher, Steven
673 | Kelly, Rosalyn
674 | Kemp, Paul S.
675 | Kennedy, Patrick
676 | Kenney, Douglas C.
677 | Kent, Hannah
678 | Kent, Jasper
679 | Kenyon, Sherrilyn / MacGregor, Kinley
680 | Kerascoet / Pommepuy, Marie / Cosset, Sebastien
681 | Kerner, Elizabeth
682 | Kerr, Katharine
683 | Keyes, Daniel
684 | Keyes, Greg / Keyes, J. Gregory
685 | Keys, Logan
686 | Khanani, Intisar
687 | Khaw, Cassandra
688 | Kidby, Paul
689 | Kiernan, Caitlin R.
690 | Killjoy, Margaret
691 | Kincy, Karen
692 | King, Emily R.
693 | King, Owen
694 | King, Stephen
695 | King, Tom
696 | Kirkman, Robert
697 | Kirstein, Rosemary
698 | Klages, Ellen
699 | Kloos, Marko
700 | Knight, Eric T.
701 | Knight, Michael Muhammad
702 | Knight, Thomas A.
703 | Knox, Elizabeth
704 | Koboldt, Dan
705 | Koebel, Adam
706 | Kohanek, Jeffrey L.
707 | Koja, Kathe
708 | Koontz, Dean
709 | Kornher-Stace, Nicole
710 | Kova, Elise
711 | Kowal, Mary Robinette
712 | Krammes, Robert
713 | Kress, Adrienne
714 | Kristoff, Jay
715 | Kritzer, Naomi
716 | Krohn, Leena
717 | Krout, Dakota
718 | Krueger, Paul
719 | Kuhn, Sarah
720 | Kui, Ryoko
721 | Kupersmith, Violet
722 | Kurland, Lynn
723 | Kurmaic, Domagoj / nobody103
724 | Kurtz, Katherine
725 | Kushner, Ellen
726 | Kuttner, Henry
727 | Kwaymullina, Ambelin
728 | L'Engle, Madeleine
729 | LaBarbera, Michael
730 | LaTorra, Sage
731 | LaValle, Victor
732 | Lackey, Mercedes
733 | Lafferty, Mur
734 | Lai, Larissa
735 | Lanagan, Margo
736 | Landy, Derek
737 | Lang, Ruth Emmie
738 | Langan, John
739 | Langford, David
740 | Langlais, Eve
741 | Lansdale, Joe R.
742 | Larsson, Stieg
743 | Lawrence, Mark
744 | Laycock, Joseph
745 | Layman, John
746 | Le Fanu, J. Sheridan
747 | Le Guin, Ursula K.
748 | Leavitt, Martine
749 | Leavy, Barbara Fass
750 | Lebbon, Tim
751 | Lebling, Robert W.
752 | Leckie, Ann
753 | Lee, Fonda
754 | Lee, Mackenzi
755 | Lee, Tanith
756 | Lee, Wendy
757 | Lee, Yoon Ha
758 | Lehmann, Ulff
759 | Lehrer, Sariann
760 | Leiber, Fritz
761 | Leicht, Stina
762 | Lenardon, Robert J.
763 | Lepore, Jill
764 | Leth, Kate
765 | Levene, Rebecca
766 | Levenseller, Tricia
767 | Levine, David D.
768 | Levy, Deborah
769 | Lewis, Beth
770 | Lewis, C. S.
771 | Lights
772 | Lin, Jeannie
773 | Lincoln, K. Bird
774 | Lindberg, Tracey
775 | Lindqvist, John Ajvide
776 | Lindskold, Jane
777 | Lingen, Marissa
778 | Link, Kelly
779 | Liu, Cixin
780 | Liu, Ken
781 | Liu, Marjorie
782 | Livingston, Lesley
783 | Lloyd-Jones, Emily
784 | Lo, Malinda
785 | Locke, Katherine
786 | Lockheart, Ross E.
787 | Lockwood, Todd
788 | Loconte, Joseph
789 | Logan, Kirsty
790 | Lord, Karen
791 | Lotz, Sarah / Grey, S. L.
792 | Loucks, Lindsey R.
793 | Loureiro, Manel
794 | Lovecraft, H. P.
795 | Lovell, Mary S.
796 | Lowe, Helen
797 | Lowell, Nathan
798 | Lowrey, Sassafras
799 | Lu, Marie
800 | Luckhurst, Roger
801 | Lukyanenko, Sergei
802 | Lynch, Scott
803 | Maas, Sarah J.
804 | Maberry, Jonathan
805 | MacAvoy, R. A.
806 | MacHale, D. J.
807 | Machado, Carmen Maria
808 | Machen, Arthur
809 | Madrid, Mike
810 | Magary, Drew
811 | Magruder, Nilah
812 | Mahjoub, Jamal
813 | Mahnke, Aaron
814 | Malerman, Josh
815 | Malik, Usman T.
816 | Malory, Thomas
817 | Maltese, Racheline
818 | Mandel, Emily St. John
819 | Manieri, Evie
820 | Mar, Alex
821 | Marco, John
822 | Marcus, Leonard S.
823 | Maresca, Marshall Ryan
824 | Marillier, Juliet
825 | Markert, James
826 | Marmell, Ari
827 | Marshall, Jeremy
828 | Martin, George R. R.
829 | Martin, J. M.
830 | Martinez, Michael J.
831 | Mashima, Hiro
832 | Mason, Zachary
833 | Masson, Elsie
834 | Mastai, Elan
835 | Matheson, Richard
836 | Matthews, G. R.
837 | Matthews, Luke
838 | Mawson, L. C.
839 | Maxwell, Lisa
840 | May, Elizabeth
841 | May, Julian
842 | Mayer, Shannon
843 | Mayor, Adrienne
844 | Mazzanoble, Shelly
845 | McCaffrey, Anne
846 | McCaffrey, Todd
847 | McCammon, Robert R.
848 | McCarthy, Cormac
849 | McClellan, Brian
850 | McCloud, Scott
851 | McClung, Michael
852 | McDonald, Ed
853 | McDonald, Ian
854 | McDoniel, Jim
855 | McDougal, Harriet
856 | McElroy, Griffin
857 | McGuire, Seanan / Grant, Mira
858 | McHugh, Steve
859 | McIntosh, Will
860 | McIntyre, Vonda N.
861 | McKillip, Patricia A.
862 | McKinley, K. M.
863 | McKinley, Robin
864 | McLemore, Anna-Marie
865 | McMahon, Gary
866 | McMahon, Jennifer
867 | McMullen, Catherine S.
868 | McNeil, L. L.
869 | McPhail, Melissa
870 | McShane, Melissa
871 | Meadows, Foz
872 | Mealing, David
873 | Mendlesohn, Farah
874 | Merbeth, K. S.
875 | Messenger, Jon
876 | Meyer, Deon
877 | Meyer, Kai
878 | Meyer, Scott
879 | Meyer, Stephen
880 | Mieville, China
881 | Milan, Victor
882 | Miller, Frank
883 | Miller, Gregory
884 | Miller, John Jackson
885 | Miller, Karen / Mills, K. E.
886 | Miller, Kirsten
887 | Miller, Madeline
888 | Miller, Michael R.
889 | Miller, Sam J.
890 | Miller, Tom
891 | Miller, Walter M., Jr.
892 | Millhauser, Steven
893 | Milos, Catherine
894 | Mirrlees, Hope
895 | Mitchell, DAvid
896 | Mitchell, David
897 | Mitchison, Naomi
898 | Miyazaki, Hayao
899 | Mizukami, Satoshi
900 | Modesitt, L. E., Jr.
901 | Moers, Walter
902 | Mohanraj, Mary Anne
903 | Moning, Karen Marie
904 | Monk, Devon
905 | Monroe-Cassel
906 | Moon, Elizabeth
907 | Moorcock, Michael
908 | Moore, Alan
909 | Moore, C. L.
910 | Moore, Christopher
911 | Moraine, Sunny
912 | Moreno-Garcia, Silvia
913 | Morford, Mark P. O.
914 | Morgan, Richard K.
915 | Morgenstern, Erin
916 | Moriarty, Jaclyn
917 | Morimi, Tomihiko
918 | Morin, J. S.
919 | Morrell, David
920 | Morris, Jan
921 | Morris, Tee
922 | Morrison, Grant
923 | Morrison, Toni
924 | Moss, Matt
925 | Moyers, Bill
926 | Muir, Tamsyn
927 | Muneshwar, Ian
928 | Murad, Mahvesh
929 | Murakami, Haruki
930 | Murphy, C. E.
931 | Murphy, Pat
932 | Murphy, Terence Patrick
933 | Murray, C. L.
934 | Musick, Ruth Ann
935 | Muslim, Kristine Ong
936 | Myer, Ilana C.
937 | NAB
938 | Nagata, Linda
939 | Narayan, Shweta
940 | Nassise, Joseph
941 | Negarestani, Reza
942 | Ness, Mari
943 | Ness, Patrick
944 | Neuvel, Sylvain
945 | Newitz, Annalee
946 | Newman, Emma
947 | Newman, Peter
948 | Newton, Mark Charan
949 | Ng, Celeste
950 | Ngugi wa Thiong'o
951 | Nicholls, Jack
952 | Niffenegger, Audrey
953 | Niven, Larry
954 | Nix, Garth
955 | North, Claire / Webb, Catherine / Griffin, Kate
956 | North, Ryan
957 | Norton, Andre
958 | Norton, Mary
959 | Novgorodoff, Danica
960 | Novik, Naomi
961 | O'Connor, Bryce
962 | O'Donnell, Peter
963 | O'Keefe, Megan E.
964 | O'Malley, Bryan Lee
965 | O'Malley, Daniel
966 | O'Neill, Katie
967 | Oakley, Ann
968 | Oates, Joyce Carol
969 | Ocampo, Silvina
970 | Oden, Scott
971 | Offutt, Andrew J.
972 | Ohtaka, Shinobu
973 | Okorafor, Nnedi
974 | Older, Daniel Jose
975 | Olesen, Daniel E.
976 | Olson, Melissa F.
977 | Olson, Quenby
978 | Onwualu, Chinelo
979 | Osborne, Melissa Jane
980 | Ostertag, Molly
981 | Oswald, James
982 | Others?
983 | Oyeyemi, Helen
984 | Ozeki, Ruth
985 | Pacat, C. S.
986 | Palahniuk, Chuck
987 | Palma, Felix J.
988 | Palmer, Ada
989 | Palmer, D. Thourson
990 | Palwick, Susan
991 | Panzo, Will
992 | Parisien, Dominik
993 | Parker, K. J. / Holt, Tom
994 | Parkinson-Morgan, Tom
995 | Paton, Chris
996 | Patrick, Benedict
997 | Paver, Michelle
998 | Paxson, Diana L.
999 | Peake, Mervyn
1000 | Pearce, Jackson
1001 | Pearson, Lars
1002 | Pearson, Wendy Gay
1003 | Peart, Neil
1004 | Peek, Ben
1005 | Pembroke, Jonathan
1006 | Percy, Benjamin
1007 | Perea, Concepcion
1008 | Perumov, Nick
1009 | Peterson, David J.
1010 | Petrosyan, Mariam
1011 | Phipps, C. T.
1012 | Piccirilli, Tom
1013 | Pierce, Meredith Ann
1014 | Pierce, Tamora
1015 | Pike, J. Zachary
1016 | Pini, Richard
1017 | Pini, Wendy
1018 | Pinsker, Sarah
1019 | Pippin-Mathur, Courtney
1020 | Pirapokin, Ploy
1021 | Plath, Sylvia
1022 | Pocock, Aaron
1023 | Polansky, Daniel
1024 | Pope, Paul
1025 | Potter, Daniel
1026 | Powers, Mark
1027 | Powers, Tim
1028 | Prasad, Vina Jie-Min
1029 | Pratchett, Terry
1030 | Pratt, Tim
1031 | Presley, M. D.
1032 | Price, Kalayna
1033 | Priest, Cherie
1034 | Priest, Christopher
1035 | Prince, Harrison
1036 | Pringle, David
1037 | Pulley, Natasha
1038 | Pullman, Philip
1039 | Putney, M. J. / Putney, Mary Jo
1040 | Rabe, Jean
1041 | Rabie, Mohammed
1042 | Radford, Irene
1043 | Rajan, Lynda
1044 | Rawn, Melanie
1045 | Reagin, Nancy R.
1046 | Redick, Robert V. S.
1047 | Reeve, Laura Chow
1048 | Reeve, Philip
1049 | Reichert, Mickey Zucker
1050 | Reid, Allison D.
1051 | Renshaw, Jonathan
